dataset name,error,v-score,r-score
DI_1000000_100_zipf-invzipf4,10,38.20224719,73.02780367
DI_1000000_100_zipf-invzipf4,20,32.58426966,68.46610861
DI_1000000_100_zipf-invzipf5,5,80.64516129,90.97148605
DI_1000000_100_zipf-invzipf5,10,51.61290323,76.07286505
DI_1000000_100_zipf-invzipf5,20,31.1827957,61.53825327
DI_1000000_100_zipf-invzipf6,5,68.88888889,87.00035409
DI_1000000_100_zipf-invzipf6,10,54.44444444,77.64536151
DI_1000000_100_zipf-invzipf6,20,27.77777778,56.97194797
DI_1000000_100_zipf-invzipf7,5,67.03296703,87.92113789
DI_1000000_100_zipf-invzipf7,10,47.25274725,77.46638824
DI_1000000_100_zipf-invzipf7,20,24.17582418,56.07178266
DI_1000000_100_zipf-invzipf8,5,60.6741573,83.28055636
DI_1000000_100_zipf-invzipf8,10,43.82022472,71.29453655
DI_1000000_100_zipf-invzipf8,20,40.4494382,64.34840863
DI_1000000_100_zipf-invzipf9,5,62.22222222,85.96274716
DI_1000000_100_zipf-invzipf9,10,51.11111111,80.31281597
DI_1000000_100_zipf-invzipf9,20,28.88888889,63.69001378
DI_1000000_200_zipf-invzipf0,5,47.8021978,79.23938993
DI_1000000_200_zipf-invzipf0,10,27.47252747,62.31379099
DI_1000000_200_zipf-invzipf0,20,18.13186813,48.39091643
DI_1000000_200_zipf-invzipf1,5,13.95348837,46.26395545
DI_1000000_200_zipf-invzipf1,10,13.37209302,42.94216826
DI_1000000_200_zipf-invzipf1,20,15.11627907,42.43366145
DI_1000000_200_zipf-invzipf2,5,23.16384181,55.30953635
DI_1000000_200_zipf-invzipf2,10,21.46892655,54.16990865
DI_1000000_200_zipf-invzipf2,20,12.99435028,43.9456275
DI_1000000_200_zipf-invzipf3,5,32.02247191,67.58034988
DI_1000000_200_zipf-invzipf3,10,23.03370787,60.1646749
DI_1000000_200_zipf-invzipf3,20,18.53932584,52.79163063
DI_1000000_200_zipf-invzipf4,5,32.78688525,61.94050342
DI_1000000_200_zipf-invzipf4,10,24.59016393,56.163244
DI_1000000_200_zipf-invzipf4,20,19.12568306,53.06188836
DI_1000000_200_zipf-invzipf5,5,21.11111111,46.19415654
DI_1000000_200_zipf-invzipf5,10,19.44444444,48.33707915
DI_1000000_200_zipf-invzipf5,20,17.77777778,44.68408129
DI_1000000_200_zipf-invzipf6,5,46.06741573,78.1476968
DI_1000000_200_zipf-invzipf6,10,28.08988764,65.86250315
DI_1000000_200_zipf-invzipf6,20,16.29213483,54.52573505
DI_1000000_200_zipf-invzipf7,5,16.47727273,40.73219064
DI_1000000_200_zipf-invzipf7,10,11.36363636,36.79161915
DI_1000000_200_zipf-invzipf7,20,9.090909091,31.37112013
DI_1000000_200_zipf-invzipf8,5,41.89944134,77.84929074
DI_1000000_200_zipf-invzipf8,10,28.49162011,67.67776397
DI_1000000_200_zipf-invzipf8,20,17.31843575,51.40198351
DI_1000000_200_zipf-invzipf9,5,54.23728814,80.93070944
DI_1000000_200_zipf-invzipf9,10,27.68361582,51.39688681
DI_1000000_200_zipf-invzipf9,20,12.99435028,42.07504676
DI_1000000_500_zipf-invzipf0,5,15.21252796,50.93025407
DI_1000000_500_zipf-invzipf0,10,12.30425056,48.99236831
DI_1000000_500_zipf-invzipf0,20,7.158836689,44.9945234
DI_1000000_500_zipf-invzipf1,5,11.52993348,54.78363344
DI_1000000_500_zipf-invzipf1,10,7.760532151,49.14173983
DI_1000000_500_zipf-invzipf1,20,4.65631929,43.30937487
DI_1000000_500_zipf-invzipf2,5,13.03370787,47.27407988
DI_1000000_500_zipf-invzipf2,10,11.46067416,47.88873167
DI_1000000_500_zipf-invzipf2,20,7.191011236,44.11358372
