dataset name,error,v-score,r-score
DI_1000000_100_zipf-invzipf6,20,26.66666667,56.97164416
DI_1000000_100_zipf-invzipf7,5,67.03296703,87.92112229
DI_1000000_100_zipf-invzipf7,10,49.45054945,77.46651479
DI_1000000_100_zipf-invzipf7,20,24.17582418,56.07177973
DI_1000000_100_zipf-invzipf8,5,61.79775281,83.28062172
DI_1000000_100_zipf-invzipf8,10,43.82022472,71.29436514
DI_1000000_100_zipf-invzipf8,20,41.57303371,64.34864433
DI_1000000_100_zipf-invzipf9,5,63.33333333,85.96286439
DI_1000000_100_zipf-invzipf9,10,51.11111111,80.3128529
DI_1000000_100_zipf-invzipf9,20,28.88888889,63.69001378
DI_1000000_200_zipf-invzipf0,5,42.30769231,76.63462249
DI_1000000_200_zipf-invzipf0,10,24.17582418,60.55483711
DI_1000000_200_zipf-invzipf0,20,19.23076923,48.47643468
DI_1000000_200_zipf-invzipf1,5,12.79069767,44.03548564
DI_1000000_200_zipf-invzipf1,10,13.95348837,41.5788264
DI_1000000_200_zipf-invzipf1,20,13.37209302,41.62519561
DI_1000000_200_zipf-invzipf2,5,20.9039548,53.81046601
DI_1000000_200_zipf-invzipf2,10,17.51412429,53.92648646
DI_1000000_200_zipf-invzipf2,20,13.55932203,45.19572468
DI_1000000_200_zipf-invzipf3,5,34.26966292,67.58040716
DI_1000000_200_zipf-invzipf3,10,23.59550562,60.16451429
DI_1000000_200_zipf-invzipf3,20,18.53932584,52.77163905
DI_1000000_200_zipf-invzipf4,5,19.12568306,51.51137889
DI_1000000_200_zipf-invzipf4,10,20.21857923,53.09594101
DI_1000000_200_zipf-invzipf4,20,17.4863388,52.3638496
DI_1000000_200_zipf-invzipf5,5,13.33333333,42.65853055
DI_1000000_200_zipf-invzipf5,10,17.77777778,48.26365586
DI_1000000_200_zipf-invzipf5,20,11.66666667,39.74719686
DI_1000000_200_zipf-invzipf6,5,45.50561798,78.14759641
DI_1000000_200_zipf-invzipf6,10,27.52808989,65.86230455
DI_1000000_200_zipf-invzipf6,20,16.29213483,54.52573162
DI_1000000_200_zipf-invzipf7,5,16.47727273,40.02285197
DI_1000000_200_zipf-invzipf7,10,11.36363636,37.31354494
DI_1000000_200_zipf-invzipf7,20,10.22727273,32.95035938
DI_1000000_200_zipf-invzipf8,5,42.45810056,77.84934809
DI_1000000_200_zipf-invzipf8,10,27.93296089,67.67766125
DI_1000000_200_zipf-invzipf8,20,16.75977654,51.40191881
DI_1000000_200_zipf-invzipf9,5,54.23728814,80.9306848
DI_1000000_200_zipf-invzipf9,10,28.24858757,51.39695879
DI_1000000_200_zipf-invzipf9,20,13.55932203,42.07510414
DI_1000000_500_zipf-invzipf0,5,12.08053691,49.69865327
DI_1000000_500_zipf-invzipf0,10,12.08053691,48.78244443
DI_1000000_500_zipf-invzipf0,20,6.935123043,44.38287857
DI_1000000_500_zipf-invzipf1,5,10.42128603,54.20189976
DI_1000000_500_zipf-invzipf1,10,7.538802661,48.66712077
DI_1000000_500_zipf-invzipf1,20,4.65631929,43.08780025
DI_1000000_500_zipf-invzipf2,5,10.11235955,44.58407904
DI_1000000_500_zipf-invzipf2,10,10.33707865,46.58242321
DI_1000000_500_zipf-invzipf2,20,7.415730337,44.73294932
DI_1000000_500_zipf-invzipf3,5,16.07142857,55.49583186
DI_1000000_500_zipf-invzipf3,10,11.38392857,47.40694207
DI_1000000_500_zipf-invzipf3,20,9.598214286,44.15823292
DI_1000000_500_zipf-invzipf4,5,15.03416856,60.17207273
DI_1000000_500_zipf-invzipf4,10,14.5785877,59.17315351
DI_1000000_500_zipf-invzipf4,20,7.061503417,42.66295907
DI_1000000_500_zipf-invzipf5,5,1.818181818,18.90742622
DI_1000000_500_zipf-invzipf5,10,2.954545455,19.39307002
DI_1000000_500_zipf-invzipf5,20,2.272727273,21.82251442
DI_1000000_500_zipf-invzipf6,5,22.81879195,66.37838973
DI_1000000_500_zipf-invzipf6,10,14.31767338,60.15099333
DI_1000000_500_zipf-invzipf6,20,7.382550336,42.22008963
DI_1000000_500_zipf-invzipf7,5,13.51351351,55.58489569
DI_1000000_500_zipf-invzipf7,10,9.90990991,49.14394358
DI_1000000_500_zipf-invzipf7,20,8.108108108,43.66241032
DI_1000000_500_zipf-invzipf8,5,10.0456621,39.61207574
DI_1000000_500_zipf-invzipf8,10,7.762557078,36.18993359
DI_1000000_500_zipf-invzipf8,20,8.904109589,40.48002384
DI_1000000_500_zipf-invzipf9,5,14.0311804,60.05001441
DI_1000000_500_zipf-invzipf9,10,14.4766147,59.8428459
DI_1000000_500_zipf-invzipf9,20,6.681514477,45.43723209
DI_1000000_10_lin-lin1,5,100,100
DI_1000000_10_lin-lin1,10,100,100
DI_1000000_10_lin-lin1,20,75,60.38364657
DI_1000000_10_lin-lin2,5,100,100
DI_1000000_10_lin-lin2,10,100,100
DI_1000000_10_lin-lin2,20,75,73.11903912
DI_1000000_10_lin-lin3,5,100,100
DI_1000000_10_lin-lin3,10,100,100
DI_1000000_10_lin-lin3,20,100,100
DI_1000000_10_lin-lin4,5,100,100
DI_1000000_10_lin-lin4,10,100,100
DI_1000000_10_lin-lin4,20,100,100
DI_1000000_10_lin-lin7,5,100,100
DI_1000000_10_lin-lin7,10,100,100
DI_1000000_10_lin-lin7,20,100,100
DI_1000000_10_lin-lin8,5,100,100
DI_1000000_10_lin-lin8,10,75,47.35030471
DI_1000000_10_lin-lin8,20,100,100
DI_1000000_10_lin-lin9,5,100,100
DI_1000000_10_lin-lin9,10,100,100
DI_1000000_10_lin-lin9,20,100,100
DI_1000000_50_lin-lin0,5,61.36363636,65.0826337
DI_1000000_50_lin-lin0,10,29.54545455,36.24902062
DI_1000000_50_lin-lin0,20,25,35.8702963
DI_1000000_50_lin-lin1,5,86.04651163,80.16571807
DI_1000000_50_lin-lin1,10,62.79069767,42.18777455
DI_1000000_50_lin-lin1,20,62.79069767,45.78454506
DI_1000000_50_lin-lin2,5,73.33333333,76.36529612
DI_1000000_50_lin-lin2,10,60,52.63266436
DI_1000000_50_lin-lin2,20,48.88888889,45.53295304
